Edu_district,City,County
Dos Palos Oro Loma Joint Unified School District,Dos Palos,Merced
Douglas City Elementary School District,Douglas City,Trinity
Downey Unified School District,Downey,Los Angeles
Dry Creek Joint Elementary School District,Roseville,Placer
Duarte Unified School District,Duarte,Los Angeles
Dublin Unified School District,Dublin,Alameda
Ducor Union Elementary School District,Ducor,Tulare
Dunham Elementary School District,Petaluma,Sonoma
Dunsmuir Elementary School District,Dunsmuir,Siskiyou
Dunsmuir Joint Union High School District,Dunsmuir,Siskiyou
Durham Unified School District,Durham,Butte
Earlimart Elementary School District,Earlimart,Tulare
East Nicolaus Joint Union High School District,Nicolaus,Sutter
East San Gabriel Valley Rop School District,West Covina,Los Angeles
East Side Union High School District,San Jose,Santa Clara
East Whittier City Elementary School District,Whittier,Los Angeles
Eastern Sierra Unified School District,Bridgeport,Mono
Eastside Union Elementary School District,Lancaster,Los Angeles
Eden Area Rop School District,Hayward,Alameda
Edison Elementary School District,Bakersfield,Kern
El Centro Elementary School District,El Centro,Imperial
El Dorado County Office Of Education School District,Placerville,El Dorado
El Dorado Union High School District,Placerville,El Dorado
El Monte City School District,El Monte,Los Angeles
El Monte Union High School District,El Monte,Los Angeles
El Nido Elementary School District,El Nido,Merced
El Rancho Unified School District,Pico Rivera,Los Angeles
El Segundo Unified School District,El Segundo,Los Angeles
El Tejon Unified School District,Lebec,Kern
Elk Grove Unified School District,Elk Grove,Sacramento
Elk Hills Elementary School District,Tupman,Kern
Elkins Elementary School District,Paskenta,Tehama
Elverta Joint Elementary School District,Elverta,Sacramento
Emery Unified School District,Emeryville,Alameda
Empire Union Elementary School District,Modesto,Stanislaus
Encinitas Union Elementary School District,Encinitas,San Diego
Enterprise Elementary School District,Redding,Shasta
Escalon Unified School District,Escalon,San Joaquin
Escondido Union High School District,Escondido,San Diego
Escondido Union School District,Escondido,San Diego
Esparto Unified School District,Esparto,Yolo
Etiwanda Elementary School District,Etiwanda,San Bernardino
Eureka City Schools School District,Eureka,Humboldt
Eureka Union School District,Granite Bay,Placer
Evergreen Elementary School District,San Jose,Santa Clara
Evergreen Union School District,Cottonwood,Tehama
Exeter Unified School District,Exeter,Tulare
Fairfax Elementary School District,Bakersfield,Kern
Fairfield-Suisun Unified School District,Fairfield,Solano
Fall River Joint Unified School District,Burney,Shasta
Fallbrook Union Elementary School District,Fallbrook,San Diego
Fallbrook Union High School District,Fallbrook,San Diego
Farmersville Unified School District,Farmersville,Tulare
Feather Falls Union Elementary School District,Oroville,Butte
Ferndale Unified School District,Ferndale,Humboldt
Fieldbrook Elementary School District,Mckinleyville,Humboldt
Fillmore Unified School District,Fillmore,Ventura
Firebaugh-Las Deltas Unified School District,Firebaugh,Fresno
Flournoy Union Elementary School District,Flournoy,Tehama
Folsom-Cordova Unified School District,Rancho Cordova,Sacramento
Fontana Unified School District,Fontana,San Bernardino
Foresthill Union Elementary School District,Foresthill,Placer
Forestville Union Elementary School District,Forestville,Sonoma
Forks Of Salmon Elementary School District,Forks Of Salmon,Siskiyou
Fort Bragg Unified School District,Fort Bragg,Mendocino
Fort Ross Elementary School District,Cazadero,Sonoma
Fort Sage Unified School District,Herlong,Lassen
Fortuna Elementary School District,Fortuna,Humboldt
Fortuna Union High School District,Fortuna,Humboldt
Forty-Niner Rop School District,Auburn,Placer
Fountain Valley Elementary School District,Fountain Valley,Orange
Fowler Unified School District,Fowler,Fresno
Franklin Elementary School District,Yuba City,Sutter
Franklin-Mckinley Elementary School District,San Jose,Santa Clara
Fremont Unified School District,Fremont,Alameda
Fremont Union High School District,Sunnyvale,Santa Clara
French Gulch-Whiskeytown Elementary School District,French Gulch,Shasta
Freshwater Elementary School District,Eureka,Humboldt
Fresno County Office Of Education School District,Fresno,Fresno
Fresno Rop School District,Fresno,Fresno
Fresno Unified School District,Fresno,Fresno
Fruitvale Elementary School District,Bakersfield,Kern
Fullerton Elementary School District,Fullerton,Orange
Fullerton Joint Union High School District,Fullerton,Orange
Galt Joint Union Elementary School District,Galt,Sacramento
Galt Joint Union High School District,Galt,Sacramento
Garden Grove Unified School District,Garden Grove,Orange
Garfield Elementary School District,Eureka,Humboldt
Garvey Elementary School District,Rosemead,Los Angeles
Gateway Unified School District,Redding,Shasta
Gazelle Union Elementary School District,Gazelle,Siskiyou
General Shafter Elementary School District,Bakersfield,Kern
Gerber Union Elementary School District,Gerber,Tehama
Geyserville Unified School District,Geyserville,Sonoma
Gilroy Unified School District,Gilroy,Santa Clara
Glendale Unified School District,Glendale,Los Angeles
Glendora Unified School District,Glendora,Los Angeles
Glenn County Office Of Education School District,Willows,Glenn
Glenn County Rop School District,Willows,Glenn
Gold Oak Union Elementary School District,Placerville,El Dorado
Gold Trail Union Elementary School District,Placerville,El Dorado
Golden Feather Union Elementary School District,Oroville,Butte
Golden Plains Unified School District,San Joaquin,Fresno
Golden Valley Unified School District,Madera,Madera
Goleta Union Elementary School District,Goleta,Santa Barbara
Gonzales Unified School District,Gonzales,Monterey
Gorman Joint School District,Gorman,Los Angeles
Grant Elementary School District,Redding,Shasta
Grass Valley Elementary School District,Grass Valley,Nevada
Gratton Elementary School District,Denair,Stanislaus
Gravenstein Union Elementary School District,Sebastopol,Sonoma
Graves Elementary School District,Salinas,Monterey
Green Point Elementary School District,Blue Lake,Humboldt
Greenfield Union Elementary School District,Greenfield,Monterey
Greenfield Union School District,Bakersfield,Kern
Grenada Elementary School District,Grenada,Siskiyou
Gridley Unified School District,Gridley,Butte
Grossmont Union High School District,El Cajon,San Diego
Guadalupe Union Elementary School District,Guadalupe,Santa Barbara
Guerneville Elementary School District,Guerneville,Sonoma
Gustine Unified School District,Gustine,Merced
Hacienda La Puente Unified School District,City Of Industry,Los Angeles
Hamilton Unified School District,Hamilton City,Glenn
Hanford Elementary School District,Hanford,Kings
Hanford Joint Union High School District,Hanford,Kings
Happy Camp Union Elementary School District,Happy Camp,Siskiyou
Happy Valley Elementary School District,Santa Cruz,Santa Cruz
Happy Valley Union Elementary School District,Anderson,Shasta
Harmony Union Elementary School District,Occidental,Sonoma
Hart Rop School District,Santa Clarita,Los Angeles
Hart-Ransom Union Elementary School District,Modesto,Stanislaus
Hawthorne School District,Hawthorne,Los Angeles
Hayward Unified School District,Hayward,Alameda
Healdsburg Unified School District,Healdsburg,Sonoma
Heber Elementary School District,Heber,Imperial
Helendale Elementary School District,Helendale,San Bernardino
Hemet Unified School District,Hemet,Riverside
Hermosa Beach City Elementary School District,Hermosa Beach,Los Angeles
Hesperia Unified School District,Hesperia,San Bernardino
Hickman Community Charter School District,Hickman,Stanislaus
Hillsborough City Elementary School District,Hillsborough,San Mateo
Hilmar Unified School District,Hilmar,Merced
Hollister School District,Hollister,San Benito
Holtville Unified School District,Holtville,Imperial
Hope Elementary School District,Santa Barbara,Santa Barbara
Hope Elementary School District,Porterville,Tulare
Horicon Elementary School District,Annapolis,Sonoma
Hornbrook Elementary School District,Hornbrook,Siskiyou
Hot Springs Elementary School District,California Hot Springs,Tulare
Howell Mountain Elementary School District,Angwin,Napa
Hueneme Elementary School District,Port Hueneme,Ventura
Hughes-Elizabeth Lakes Union Elementary School District,Lake Hughes,Los Angeles
Hughson Unified School District,Hughson,Stanislaus
Humboldt County Office Of Education School District,Eureka,Humboldt
Humboldt County Rop School District,Eureka,Humboldt
Huntington Beach City Elementary School District,Huntington Beach,Orange
